REQ_ID	SOURCE	SOURCE_LOCATION	OWNER_REQUIREMENT_TEXT	CONTENT_LIBRARY_SCOPE	CURRENT_IMPLEMENTATION_LOCATION	CURRENT_TEST_LOCATION	CURRENT_UI_LOCATION	CURRENT_PERSISTENCE_LOCATION	STATUS	GAP_CLASS	NOTES
AT-001	BASELINE_BOOTSTRAP	1 Governing baseline; lines 15-55	Use accepted release-v3 SHA/tree as module baseline.	boundary	n/a	baseline verification	n/a	n/a	PASS	NONE	Release governance; negative=unaccepted head is not accepted release; evidence=git refs/tree
AT-002	SAFETY_ADDENDUM	A Hard execution precedence; lines 16-60	Verify accepted source and freeze module-run base before mutation.	boundary	n/a	baseline verification	n/a	n/a	PASS	NONE	Release governance; negative=no mid-run base switch; evidence=final refs
AT-003	OWNER_TRACK_V1	1 Two trains; lines 28-58	Keep production-close and module-development trains separate.	boundary	n/a	branch checks	n/a	n/a	PASS	NONE	Release governance; negative=module work is not launch change; evidence=remote refs
AT-004	OWNER_RUN_V2	2 Hard product truth; lines 137-187	One library contains Forms Reports Engineering Works Definitions; reusable checklist is Form.	core	MasterContentItem | master_content | master-content routes	gap-closure suite	Dashboard library	master_content_*	PASS	NONE	Content Library; negative=operational checklist is not Form record; evidence=library/checklist tests
AT-005	OWNER_RUN_V2	3 Not a second system of record; lines 189-229	Library is governed discovery/reuse projection, not operational truth.	boundary	MasterContentItem | master_content | consumer seams	cross-module tests	Dashboard	item/version tables	PASS	NONE	Platform/domain owners; negative=project/evidence/permit truth cannot be library truth; evidence=ownership/seam evidence
AT-006	OWNER_RUN_V2	4 Domain ownership map; lines 231-311	Library owns reusable content; Project Evidence Permit Engineering own operational state.	boundary	owning-domain models | owning-domain services | owning-domain APIs	cross-module suites	owning-domain UIs	owning-domain tables	PASS	NONE	Domain owners; negative=no duplicate state; evidence=ownership map
AT-007	OWNER_RUN_V2	7 Reusable content model; lines 385-418	Identity lifecycle currentness provenance category binding and audit are required.	core	MasterContentItem/DocumentVersion | master_content | master-content routes	owner dashboard	Dashboard	master_content_* / documents	PASS	NONE	Content Library; negative=metadata cannot create approval authority; evidence=model/API tests
AT-008	OWNER_TRACK_V1	8 Source-of-truth model; lines 232-252	MasterContentItem links to Document and DocumentVersion.	core	item/document/version | master_content | master-content routes	gap-closure/retrieval	Dashboard	item/document/version tables	PASS	NONE	Content Library; negative=no divergent version authority; evidence=persistence
AT-009	OWNER_RUN_V2	8 Internal versus official forms; lines 420-470	AMEC internal templates and official authority forms are distinct.	seam	GovernanceProfile/DocumentVersion | forms_governance/source18 | official-form routes	Source18 tests	Forms/Source18 UI	DocumentVersion metadata	PARTIAL	CL_FORM_AUTHORITY_GAP	Typed official-form authority remains Source18-owned; Content Library must not create a competing authority registry.
AT-010	OWNER_RUN_V2	8 Currentness; lines 454-470	Unknown currentness fails closed; history remains discoverable.	seam	DocumentVersion metadata | source18/current controls | packet routes	Source18 tests	packet UI	packet/version tables	PASS	NONE	Permit/Source18; negative=stale form cannot be live source; evidence=currentness negatives
