ATOMIC_REQUIREMENT_ID	SOURCE_FILE	SOURCE_HEADING_OR_SECTION	EXACT_SOURCE_LOCATOR	SOURCE_TEXT_OR_BOUNDED_PARAPHRASE	DOMAIN_OWNER	CONTENT_LIBRARY_APPLICABILITY	CURRENT_MODEL	CURRENT_SERVICE	CURRENT_API	CURRENT_UI	CURRENT_PERSISTENCE	CURRENT_TEST	STATUS	GAP	IMPLEMENTATION_ACTION	NEGATIVE_INVARIANT	ACCEPTANCE_EVIDENCE
AT-001	BASELINE_BOOTSTRAP	1 Governing baseline	lines 15-55	Use accepted release-v3 SHA/tree as module baseline.	Release governance	boundary	n/a	n/a	n/a	n/a	n/a	baseline verification	PASS_CURRENT	none	record frozen base	unaccepted head is not accepted release	git refs/tree
AT-002	SAFETY_ADDENDUM	A Hard execution precedence	lines 16-60	Verify accepted source and freeze module-run base before mutation.	Release governance	boundary	n/a	n/a	n/a	n/a	n/a	baseline verification	PASS_CURRENT	none	preserve frozen base	no mid-run base switch	final refs
AT-003	OWNER_TRACK_V1	1 Two trains	lines 28-58	Keep production-close and module-development trains separate.	Release governance	boundary	n/a	n/a	n/a	n/a	n/a	branch checks	PASS_CURRENT	none	module-only commits	module work is not launch change	remote refs
AT-004	OWNER_RUN_V2	2 Hard product truth	lines 137-187	One library contains Forms Reports Engineering Works Definitions; reusable checklist is Form.	Content Library	core	MasterContentItem	master_content	master-content routes	Dashboard library	master_content_*	gap-closure suite	PASS_CURRENT	none	retain	operational checklist is not Form record	library/checklist tests
AT-005	OWNER_RUN_V2	3 Not a second system of record	lines 189-229	Library is governed discovery/reuse projection, not operational truth.	Platform/domain owners	boundary	MasterContentItem	master_content	consumer seams	Dashboard	item/version tables	cross-module tests	PASS_CURRENT	none	retain	project/evidence/permit truth cannot be library truth	ownership/seam evidence
AT-006	OWNER_RUN_V2	4 Domain ownership map	lines 231-311	Library owns reusable content; Project Evidence Permit Engineering own operational state.	Domain owners	boundary	owning-domain models	owning-domain services	owning-domain APIs	owning-domain UIs	owning-domain tables	cross-module suites	PASS_CURRENT	none	seam documentation	no duplicate state	ownership map
AT-007	OWNER_RUN_V2	7 Reusable content model	lines 385-418	Identity lifecycle currentness provenance category binding and audit are required.	Content Library	core	MasterContentItem/DocumentVersion	master_content	master-content routes	Dashboard	master_content_* / documents	owner dashboard	PASS_CURRENT	none	retain	metadata cannot create approval authority	model/API tests
AT-008	OWNER_TRACK_V1	8 Source-of-truth model	lines 232-252	MasterContentItem links to Document and DocumentVersion.	Content Library	core	item/document/version	master_content	master-content routes	Dashboard	item/document/version tables	gap-closure/retrieval	PASS_CURRENT	none	retain	no divergent version authority	persistence
AT-009	OWNER_RUN_V2	8 Internal versus official forms	lines 420-470	AMEC internal templates and official authority forms are distinct.	Forms/Source18	seam	GovernanceProfile/DocumentVersion	forms_governance/source18	official-form routes	Forms/Source18 UI	DocumentVersion metadata	Source18 tests	PARTIAL_CURRENT	typed authority projection remains Source18-owned	use existing seam	internal form cannot masquerade as official	official form tests
AT-010	OWNER_RUN_V2	8 Currentness	lines 454-470	Unknown currentness fails closed; history remains discoverable.	Permit/Source18	seam	DocumentVersion metadata	source18/current controls	packet routes	packet UI	packet/version tables	Source18 tests	PASS_CURRENT	none	retain	stale form cannot be live source	currentness negatives
AT-011	OWNER_RUN_V2	9 Field authority	lines 472-502	Authority-only fields deny AMEC edit AI prefill and generic apply; blank differs from NA.	Source18/Evidence	seam	FieldAuthorityRule/Form mapping	governed_prefill/source18	prefill/packet routes	authority UI	field/evidence tables	adversarial tests	PASS_CURRENT	none	retain	AUTHORITY_ONLY is never AMEC-authored	field negatives
AT-012	OWNER_RUN_V2	10 Deterministic resolution	lines 504-540	Resolution uses family purpose consumer context currentness and active state.	Content Library	core	item+binding+version	master_content	resolver routes	resolver UI	binding/version tables	resolver convergence	PARTIAL_CURRENT	full applicability context is owner-domain seam	preserve deterministic resolver	closest stale item is not selected	resolver tests
AT-013	OWNER_RUN_V2	11 Requirements engine seam	lines 542-612	Requirements engine owns applicability and Project Requirement Items.	Requirements/Project	out-of-scope	RequirementDefinition/RequirementInstance	requirements/preparation	requirements routes	project checklist UI	requirement tables	shared foundations	OUT_OF_SCOPE	no library engine	document seam	Form cannot create Project requirement truth	requirements tests
AT-014	OWNER_RUN_V2	11 Required states	lines 570-612	Project states do not collapse from REQUESTED through SUPERSEDED.	Requirements/Project	out-of-scope	RequirementInstance	preparation	preparation routes	project UI	requirement_instances	preparation tests	OUT_OF_SCOPE	no duplicate state	seam documentation	RECEIVED is not VERIFIED	project tests
AT-015	OWNER_RUN_V2	12 Dynamic requirements	lines 614-638	New rules reopen readiness without deleting prior verified evidence.	Requirements/Project	out-of-scope	RequirementSet/Item	requirements/preparation	requirements routes	project UI	requirement history	requirements tests	OUT_OF_SCOPE	consumer-owned	seam documentation	new requirement cannot delete evidence	requirements tests
AT-016	OWNER_RUN_V2	13 Project checklist	lines 640-663	Client checklist projects requirement items and visual marks are not truth.	Project	out-of-scope	RequirementInstance	preparation	preparation routes	project checklist UI	project tables	preparation tests	OUT_OF_SCOPE	no library checklist projection	seam documentation	uploaded checklist is not canonical	project tests
AT-017	OWNER_RUN_V2	14 Evidence verification	lines 665-695	Evidence validity identity expiry and human verification are owner-domain controls.	Evidence/Document	out-of-scope	Document/FieldObservation/VerifiedAssertion	evidence services	evidence routes	evidence UI	evidence tables	evidence tests	OUT_OF_SCOPE	no duplicate evidence	seam documentation	AI extraction is not verification	evidence tests
AT-018	OWNER_RUN_V2	15 Verified prefill	lines 697-727	Prefill follows source artifact observation human verification assertion eligible field.	Evidence	seam	VerifiedAssertion/governance profile	governed_prefill	prefill routes	prefill UI	evidence tables	prefill adversarial	PASS_CURRENT	none	retain	model output cannot mutate canonical truth	prefill tests
AT-019	OWNER_RUN_V2	16 Packet consumption	lines 729-774	Official form flows through AuthorityCase and immutable SubmissionPackage revisions.	Permit/Source18	out-of-scope seam	AuthorityCase/SubmissionPackage	source18	packet routes	packet UI	packet tables	Source18 tests	OUT_OF_SCOPE	no library packet engine	seam documentation	submitted packet cannot be overwritten	packet tests
