owner_source,owner_locator,owner_id,owner_requirement,scope,cm_cluster,current_owning_module,current_ui_component,read_path,write_action_path,canonical_producer,api_service,persistence_evidence,authorization_capability,test_evidence,current_result,qualification
Finance : Invoice Module (3).docx,"Table 1, row 10 / T1R10",T1R10,Invoice ↔ milestone linkage,BOUNDARY,CM13 Contract→Finance context / invoice trigger,Contract + owning module,Operations & Billing,GET .../{id}/billing-context,Navigation/deep link to Billing; Contract does not mutate invoices/payments,Billing read model,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_READ (Billing owns mutation),test_admin_contract_owner_session.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Finance : Invoice Module (3).docx,"Table 1, row 17 / T1R17",T1R17,Design invoice triggered by project milestone,BOUNDARY,CM13 Contract→Finance context / invoice trigger,Contract + owning module,Operations & Billing,GET .../{id}/billing-context,Navigation/deep link to Billing; Contract does not mutate invoices/payments,Billing read model,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_READ (Billing owns mutation),test_admin_contract_owner_session.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Finance : Invoice Module (3).docx,"Table 4, row 12 / T4R12",T4R12,Contract Currency,DIRECT,CM07 Contract terms / payment schedule / deliverables / client inputs,Contract,ContractRevisionEditor / ContractCommitments,GET /api/admin/contracts/{id},PATCH .../{id}; POST .../commercial-terms; .../deliverables; .../client-inputs,ContractRevision-bound commitment rows,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
Finance : Invoice Module (3).docx,"Table 4, row 16 / T4R16",T4R16,Contract Start Date,DIRECT,CM07 Contract terms / payment schedule / deliverables / client inputs,Contract,ContractRevisionEditor / ContractCommitments,GET /api/admin/contracts/{id},PATCH .../{id}; POST .../commercial-terms; .../deliverables; .../client-inputs,ContractRevision-bound commitment rows,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py,OWNER_INPUT_REQUIRED,Exact Contract start-date/period semantics remain an AMEC policy boundary; UI preserves the unresolved state without inventing a default.
Finance : Invoice Module (3).docx,"Table 4, row 17 / T4R17",T4R17,Contract End Date,DIRECT,CM07 Contract terms / payment schedule / deliverables / client inputs,Contract,ContractRevisionEditor / ContractCommitments,GET /api/admin/contracts/{id},PATCH .../{id}; POST .../commercial-terms; .../deliverables; .../client-inputs,ContractRevision-bound commitment rows,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
Finance : Invoice Module (3).docx,"Table 5, row 5 / T5R5",T5R5,Invoice linked to milestone,BOUNDARY,CM13 Contract→Finance context / invoice trigger,Contract + owning module,Operations & Billing,GET .../{id}/billing-context,Navigation/deep link to Billing; Contract does not mutate invoices/payments,Billing read model,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_READ (Billing owns mutation),test_admin_contract_owner_session.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Finance : Invoice Module (3).docx,"Table 5, row 6 / T5R6",T5R6,Milestone invoice amount,BOUNDARY,CM13 Contract→Finance context / invoice trigger,Contract + owning module,Operations & Billing,GET .../{id}/billing-context,Navigation/deep link to Billing; Contract does not mutate invoices/payments,Billing read model,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_READ (Billing owns mutation),test_admin_contract_owner_session.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Finance : Invoice Module (3).docx,"Table 6, row 3 / T6R3",T6R3,Design/project services,DIRECT,CM12 ServiceEngagement / Service Scope setup,Contract + owning module,ServiceScopeSetup / Handover,GET .../{id}/project-context,POST /api/handover/service-engagements (owning module),Handover ServiceEngagement,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,SERVICE_SCOPE_CREATE (Handover),test_handover_final_closure_bridge.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Finance : Invoice Module (3).docx,"Table 7, row 2 / T7R2",T7R2,Create invoice from an eligible billing event/milestone,BOUNDARY,CM13 Contract→Finance context / invoice trigger,Contract + owning module,Operations & Billing,GET .../{id}/billing-context,Navigation/deep link to Billing; Contract does not mutate invoices/payments,Billing read model,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_READ (Billing owns mutation),test_admin_contract_owner_session.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Invoice : Contract  2 Module Requiremnents (3).docx,"Table 1, row 88 / 76",76,Commercially won/contracted project hands off to Engineering,BOUNDARY,CM14 Downstream Engineering/Permit handoff context,Contract + owning module,Project context / Handover,GET .../{id}/project-context,Owning Engineering/Permit handoff action,Engineering/Permit owning workflow,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,owning Engineering/Permit capability,test_handover_final_closure_bridge.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Invoice : Contract  2 Module Requiremnents (3).docx,"Table 1, row 160 / 139",139,"Tender is optional, based on contracted scope",DIRECT,CM07 Contract terms / payment schedule / deliverables / client inputs,Contract,ContractRevisionEditor / ContractCommitments,GET /api/admin/contracts/{id},PATCH .../{id}; POST .../commercial-terms; .../deliverables; .../client-inputs,ContractRevision-bound commitment rows,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
